Social Sciences, Biomedical	Catastrophe, Caregiving and Today's Biomedicine
Rehabilitation	Effects of hippotherapy on body functions, activities and participation in children with cerebral palsy based on ICF-CY assessments
History & Philosophy Of Science	The Tragic Sense of Life: Ernst Haeckel and the Struggle over Evolutionary Thought
Anthropology	Covariation patterns and respiratory simulation in modern human and Neanderthal noses
Regional & Urban Planning	There is no planningonly planning practices: Notes for spatial planning theories
Education & Educational Research	What Do I Say Next? Using the Third Turn to Build Productive Instructional Discussions
International Relations	Taming Tibet: Landscape Transformation and the Gift of Chinese Development
Business	Employees as internal audience: how advertising affects employees' customer focus
Criminology & Penology	The Mediating Role of Social Disorganization: A Case Study of Russian Neighborhoods
History	That ever loyal island: Staten Island and the American Revolution
Cultural Studies	Nootechnics of the Digital
Economics	Different measures in testing absolute purchasing power parity
Education & Educational Research	Peer-assisted teaching of basic surgical skills
Law	DSHEA'S FAILURE: WHY A PROACTIVE APPROACH TO DIETARY SUPPLEMENT REGULATION IS NEEDED TO EFFECTIVELY PROTECT CONSUMERS
Social Issues	Life Expectancy and the Search for a Bag Lady Effect in Charitable Giving
Transportation	A New Branch-and-Cut Algorithm for the Generalized Directed Rural Postman Problem
Family Studies	Financial and practical kin support in Sweden: Normative guidelines and practice
Development Studies	Democracy and People Power in Africa: still searching for the 'political kingdom'
History & Philosophy Of Science	Building thoughts from dust: a Cantorian puzzle
International Relations	The legacy of Ataturk: the limits of conditionality in Turkish European Union membership negotiations
Ethics	Standing on Principles: Collected Essays
Management	Analysis of franchisors' expansion strategies and competition
Linguistics	Automatic text classification using words networks
Urban Studies	Measuring the impacts of suburbanization with ecological footprint calculations
Geography	Application of multivariate analysis to areas undergoing transformation: the periphery of the largest built-up urban areas in Andalusia
Ethics	COSTA RICA'S 'WHITE LEGEND': HOW RACIAL NARRATIVES UNDERMINE ITS HEALTH CARE SYSTEM
Social Sciences, Biomedical	A linguist's insight into insight
Women'S Studies	Changing Attitudes About Being a Bystander to Violence: Translating an In-Person Sexual Violence Prevention Program to a New Campus
Geography	Questioning cultural narratives of economic development: An investigation of Kitchener-Waterloo
Education & Educational Research	Holding together - equalities, difference and cohesion: guidance for school improvement planning
Education & Educational Research	An Exploration of the Drivers of Private Tutoring in Egypt
Nursing	Creating Evidence: Findings from a Grounded Theory of Memory-Making in Neonatal Bereavement Care in Australia
Hospitality, Leisure, Sport & Tourism	An examination of factors motivating hotel outsourcing
Social Work	Children's relationships with birth parents in childhood and adulthood: A qualitative longitudinal study of kinship care
Social Sciences, Biomedical	Psychopharmacological enhancement discussed across disciplines Introduction
Public Administration	New development: Regression-to-the-mean explains the otherwise puzzling coefficients in NHS England's formula for funding CCGs
Management	The Interactive Effects of Mood and Trait Negative Affect in Group Decision Making
Political Science	Public Opinion and Judicial Behavior in Direct Democracy Systems: Gay Rights in the American States
Education & Educational Research	Can animations effectively substitute for traditional teaching methods? Part I: preparation and testing of materials
Information Science & Library Science	Uncovering Meaningful Correlation between Student Academic Performance and Library Material Usage
Rehabilitation	Understanding the occupational performance experiences of individuals with low vision
International Relations	The Fate of Freedom Elsewhere: Human Rights and US Cold War Policy Toward Argentina
Nursing	Comparison of Functional Status of 8-to 12-Year-Old Children Born Prematurely: An Integrative Review of Literature
Business	Agency and institutional influences on franchising decisions
Environmental Studies	Land use planning issues in management of common property resources in a backward tribal area
Substance Abuse	Religious involvement and marijuana use among a sample of African American young adults
Health Policy & Services	Can voluntary pooled procurement reduce the price of antiretroviral drugs? a case study of Efavirenz
Linguistics	Mental Space Theory and the Relation of Metaphors to 'Usefulness' in Zhuangzi
Gerontology	Associations Between Activities of Daily Living Independence and Mental Health Status Among Medicare Managed Care Patients
Development Studies	Social Inequality, Local Leadership and Collective Action: An Empirical Study of Forest Commons
Business, Finance	Disbursements
Law	NQHR March 2020
Regional & Urban Planning	NSL-Newsletter at www.nsl.ethz.ch/newsletter
Cultural Studies	Gay Characters in the Margins: Gender-Based Stereotypes in Subtitled French Film
Social Sciences, Biomedical	Evidence-based activism: Patients', users' and activists' groups in knowledge society Introduction
Social Sciences, Biomedical	A tale of two diseases: Discourses on TB, HIV/AIDS and im/migrants and ethnic minorities in the United Kingdom
Anthropology	Build-A-Calculus: Experimental dietary research on in vitro dental calculus
Environmental Studies	The Significance of the Hamburg Workshop: Post-Normal Science and the Maturing of Science
History	The Dream of the Great American Novel.
Psychology, Multidisciplinary	The Chinese ambivalence to humor: Views from undergraduates in Hong Kong and China
Urban Studies	Who owns China's housing? Endogeneity as a lens to understand ambiguities of urban and rural property
Women'S Studies	"""Never Tear the Linnet from the Leaf"" The Feminist Intertextuality of Edna O'Brien's Down by the River"
Ethics	"Jozef Tischner's epistemology of ""political reason"" and the ""ethics of truth"""
Education & Educational Research	Communities, boundary practices and incentives for knowledge sharing? A study of the deployment of a digital. control system in a process industry as a learning activity
Hospitality, Leisure, Sport & Tourism	The role of Yum Cha (Cantonese morning tea) in the integration process among interprovincial migration in China
Sociology	A synergetic model of society organization
Political Science	The Road to Hell? Third-Party Intervention to Prevent Atrocities
Information Science & Library Science	library Reads The top ten books that librarians across the country love
Women'S Studies	Unity and Difference: A Critical Appraisal of Polarizing Gender Identities
Social Work	Social Suffering: Changing Organisational Culture in Children and Families Social Work through Critical Reflection Groups-Insights from Bourdieu
Economics	R&D subsidies in a model of growth with dynamic market structure
Public Administration	The possibilities of the empowerment in the civil society
Social Sciences, Biomedical	Dangerous desires and post-queer HIV prevention: Rethinking community, incitement and intervention
Education & Educational Research	School development in the Course of a Decade - First results of the PISA School panels
Public Administration	Exploring the Determinants of Nonprofit Coproduction of Public Service Delivery The Case of k-12 Public Education
Urban Studies	'More Toronto, naturally' but 'too strange for Orangeville': De-universalizing New Urbanism in Greater Toronto
Social Sciences, Interdisciplinary	REDI Model of Relocation Pathway for Persons With Dementia and Their Family Caregivers Moving to a Retirement Residence
Law	Regulating the private security industry: a story of regulating the last war
Information Science & Library Science	Adventurers Wanted: Slathbog's Gold.
Law	Laying the Foundations for a Convention on Crimes Against Humanity Concluding Observations
Substance Abuse	Reliability and Validity of the Alcohol Short Index of Problems and a Newly Constructed Drug Short Index of Problems
Management	Scientific knowledge dynamics and relatedness in biotech cities
Rehabilitation	Identifying occupational attributes of jobs performed after spinal cord injury: implications for vocational rehabilitation
Health Policy & Services	The use of community-based social services by elderly people at risk of institutionalization: An evaluation
Information Science & Library Science	To Keep Love Blurry
Industrial Relations & Labor	Employer and employer association matters in Australia in 2012
Urban Studies	Urbanism in the Vargas era: the transformation of Brazilian cities
Nursing	Spanish Speaking, Limited English Proficient Parents whose Children are Hospitalized: An Integrative Review
Public Administration	Accountability insights from the devolution of Indigenous child welfare in Manitoba
Business, Finance	Analytical Pricing of European Bond ptions within One-Factor Quadratic Term Structure Models
Regional & Urban Planning	A New Philosophy of Society: Assemblage Theory and Social Complexity
Hospitality, Leisure, Sport & Tourism	Modified Importance-Performance Analysis for Evaluating Tourism Businesses Strategies: Comparison of Slovenia and Serbia
Anthropology	Animal domestication in the high Arctic: Hunting and holding reindeer on the <(IA)over arc>mal peninsula, northwest Siberia
Political Science	Human Rights, Freedom, and Political Authority
International Relations	GET FLEXIBLE
Industrial Relations & Labor	Good Jobs America: Making Work Beller for Everyone
Information Science & Library Science	The Lost Time Accidents
Social Sciences, Biomedical	Transgenic Silences: The Rhetoric of Comparisons and Transgenic Mice as 'Ordinary Treasures'
Development Studies	Gender, Microcredit and Poverty Alleviation in a Developing Country: The Case of Women Entrepreneurs in Pakistan
Public, Environmental & Occupational Health	Factors associated with undernourishment among people 20 years old or over with HIV/AIDS attending public health services in the Sao Paulo municipality, Brazil
Sociology	Forest Prairie Edge: Place History in Saskatchewan
Ethics	The Failure of Hooker's Argument for Rule Consequentialism
Substance Abuse	Hookah Use: Could Families Be A Risk Factor for Future Addiction?
Environmental Studies	Interaction effects of targeted agri-environmental payments on non-marketed goods and services under climate change in a mountain region
Regional & Urban Planning	Intra-Regional Differences in the Demand for Carsharing - A GIS-based Empirical Analysis
Area Studies	Palestinian Labour Migration to Israel. Labour, Land and Occupation
Social Sciences, Interdisciplinary	Are there bases for evidence-based health policy in Switzerland? Factors influencing the extent of evaluation activity in health policy in the Swiss cantons
History Of Social Sciences	"BRIDGE OVER TROUBLED WATERS? THE MOST ""CENTRAL"" MEMBERS OF PSYCHOLOGY AND PHILOSOPHY ASSOCIATIONS CA. 1900"
Transportation	Examining the effect of life course events on modality type and the moderating influence of life stage
Business, Finance	Decomposing Global Equity Cross-Sectional Volatility (vol 67, pg 58, 2011)
Sociology	Religious beliefs and practise - Spanish facts
Business	Religiosity and consumer behavior of older adults: A study of subcultural influences in Malaysia
Regional & Urban Planning	Legitimising activism in democracy: A place for antagonism in environmental governance
Anthropology	Tayara site (KbFk-7) and the Dorset period: Multidisciplinary research on a key Palaeoeskimo site of the Hudson Strait (Nunavik, Canada)
Rehabilitation	Improving practice standards in forensic mental health
Social Work	School Psychology Quarterly Open Call for Papers: Special Section on Immigrants, Schooling, and School Psychology Practice
History	When the Emperor Submitted to his Rebellious Subjects: A Neglected and Innovative Legal Account of the Peace of Constance, 1183
Communication	Integrative Framing Analysis: Framing Health Through Words and Visuals
Ethics	Collective Directionality: A New Possibility for Collectives as Objects of Normative Consideration
Communication	Making an expert: Sources and their contributions in news coverage of orthorexia nervosa
Rehabilitation	Attending to biographical disruption: the experience of rehabilitation following tetraplegia due to spinal cord injury
Education, Special	Differential Effects of Self-graphing on Self-monitoring of Early Literacy Outcomes in Kindergarten Students
Communication	Group Communication During Resource Dilemmas: 4: The Effect of Group Size
Sociology	Vegans of color: managing visible and invisible stigmas
Demography	Japanese Immigration Policy at a Turning Point
Public, Environmental & Occupational Health	Civil Legal Services and Medical-Legal Partnerships Needed by the Homeless Population: A National Survey
Business	An examination of the interplay between corporate social responsibility, the brand's home country, and consumer global identification
History	"""The Present Time is Eminently Scientific"": The Science of Cookery in Nineteenth-Century Britain"
Public, Environmental & Occupational Health	Knowledge, Attitudes, and Beliefs of Catholic Clerics' Regarding Mental Health in Lebanon
Nursing	The Immobile Pediatric Population: Can Progressive Mobility Hasten Recovery?
Linguistics	Translation students' representations in the learning process of a foreign language
Environmental Studies	Chinese construction companies in Angola: A local linkages perspective
History Of Social Sciences	Judicial review in the New Zealand planning system: 1926-1977
Anthropology	Estimated body parameters of the Sima de los Huesos hominins
Regional & Urban Planning	Megaprojects An Anatomy of Perception Local People's Perceptions of Megaprojects: The Case of Suramadu, Indonesia
Social Sciences, Interdisciplinary	Music and violence, narratives of the divine and feminicide
Development Studies	Implementing Parenting Programmes Across Cultural Contexts: A Perspective on the Deficit Narrative
History Of Social Sciences	Modern Turkish architecture: 1900-1980
Education, Special	Family caregivers of people who have intellectual/developmental disabilities and asthma: Caregiver knowledge of asthma self-management conceptsA pilot study
Information Science & Library Science	The Fruitcake Murders
Education & Educational Research	Toward a Militant Pedagogy in the Name of Love: On Psychiatrization of Indifference, Neurobehaviorism and the Diagnosis of ADHD-A Philosophical Intervention
Urban Studies	Reframing social mix in affordable housing initiatives in Italy and in the Netherlands. Closing the gap between discourses and practices?
Public Administration	Bargaining and informal interactions in the national budget: a game theory analysis of the Israeli case
Psychology, Multidisciplinary	Humor in civil case mediations: A functional approach
Social Sciences, Biomedical	The end of the epidemiology wars? Epidemiological 'ethics' and the challenge of translation
Ethics	Walking the Tightrope between Study Participant Autonomy and Researcher Integrity: The Case Study of a Research Participant with Alzheimer's Disease Pursuing Euthanasia in Switzerland
Linguistics	IMPLICIT AND EXPLICIT LANGUAGE LEARNING: CONDITIONS, PROCESSES, AND KNOWLEDGE IN SLA AND BILINGUALISM
Education & Educational Research	The contribution of 'shared education' to Catholic-Protestant reconciliation in Northern Ireland: a third way?
Regional & Urban Planning	In the change of time: Friedrich Halstenberg. Planning in the Democratic State - State Development Policy in North Rhine-Westphalia
Regional & Urban Planning	Dialogical Planning in a Fragmented Society: Critically Liberal, Pragmatic, Incremental.
Information Science & Library Science	The MIREX Grand Challenge: A Framework of Holistic User-Experience Evaluation in Music Information Retrieval
Linguistics	"MAPPING PERCEPTIONS OF LANGUAGE VARIATION IN WISCONSIN: ON ""GOIN' FISHIN' AT MY CABIN DON'T CHA KNOW"" AND ""NORMAL LIKE ME"""
Rehabilitation	Examining the impact of a city-wide intensive interaction staff training program for adults with profound and multiple learning disability: a mixed methods evaluation
Women'S Studies	Mothering Queerly, Queering Motherhood: Resisting Monomaternalism in Adoptive, Lesbian, Blended, and Polygamous Families
Ethics	Kantianism, Liberalism, and Feminism: Resisting Oppression
Urban Studies	Citizens, Cops, and Power: Recognizing the Limits of Community
Public Administration	Everyday Life in British Government
Social Sciences, Biomedical	A seized up world
History	Medieval Rome: Stability and Crisis of a City, 900-1150
Social Issues	DIVINE GLORY IN A DARWINIAN WORLD
Rehabilitation	Influence of Limb Dominance and Cognitive Loading Upon Upper-Extremity Bimanual Motor Control
Hospitality, Leisure, Sport & Tourism	The Demand for Sports and Recreational Services: Empirical Evidence from Germany
Gerontology	Handgrip Strength in Old and Very Old Adults: Mood, Cognition, Function, and Mortality
Hospitality, Leisure, Sport & Tourism	Impact of sustainable management policies on tourism companies' performance: the case of the metropolitan region of Madrid
Industrial Relations & Labor	COLLECTIVE AGREEMENTS, WAGES, AND FIRMS' COHORTS: EVIDENCE FROM CENTRAL EUROPE
Family Studies	An academic and voluntary sector collaboration to facilitate relationship support for 'mixed' couples and families
Regional & Urban Planning	Introduction: Does planning theory affect practice, and if so, how?
Sociology	"The Problem of ""Cameo Appearances"" in Mixed-methods Research: Implications for Twenty-first-century Ethnography"
Public, Environmental & Occupational Health	From deep-fried Mars bars to neoliberal political attacks: explaining the Scottish mortality disadvantage
Psychology, Multidisciplinary	The neurology and psychiatry of humor, smiling, and laughter: a tribute to Paul McGhee Part II. neurological studies and brain imaging
History	Unprotected Labour: Household Workers, Politics and Middle-Class Reform in New York, 1870-1940
Urban Studies	Sensitivity of green spaces to the process of urban planning. Three case studies of Madrid (Spain)
History	Ordinary Lives in the Early Caribbean: Religion, Colonial Competition, and the Politics of Profit.
Family Studies	Parental Attachment Styles and Religious and Spiritual Struggle: A Mediating Effect of God Image
Ethics	The Retrieval of Ethics
Geography	Neon bright: Cool Places, youth cultures and hopeful political-theoretical futures
Education & Educational Research	Is Facebook still a suitable technology-enhanced learning environment? An updated critical review of the literature from 2012 to 2015
Political Science	The Cold War's Killing Fields Rethinking the Long Peace
Geography	New friends in new places: Network formation during the migration process among Poles in the UK
Regional & Urban Planning	disP Column - Planning the post-metropolis
Social Sciences, Mathematical Methods	Number of Factors in Growth Curve Modeling
Gerontology	Family dynamics and their association with elder family financial exploitation in families with appointed powers of attorney
Communication	Marxist Academic Traditions in British Media and Communication Research: Critique and reconstruction [Yingguo meidi yu chuanbo yanjiu de makesi zhuyi xueshu chuantong: Pipan yu chonggou]
Transportation	Island accessibility challenges: Rural transport in the Finnish archipelago
Nursing	Fear and Coping in Children 5-9 years old Treated for Acute Lymphoblastic Leukemia - A Longitudinal Interview Study
Business, Finance	The US and Irish credit crises: Their distinctive differences and common features
Management	Journeying and the experiential gaze in research: Theorizing as a form of knowing
Area Studies	The Trace of Judaism: Dostoevsky, Babel, Mandelstam, Levinas
International Relations	Why We Need Nuclear Power: The Environmental Case
Social Sciences, Mathematical Methods	The 2010 Morris Hansen Lecture Dealing with Survey Nonresponse in Data Collection, in Estimation Discussion
Family Studies	A Content Analysis of LGBT Research in Top Family Journals 2000-2015
Education & Educational Research	"""The life of crime does not pay; stop and think!': the process of co-constructing a prototype pedagogical model of sport for working with youth from socially vulnerable backgrounds"
Social Work	Sexuality & Long-Term Care: Understanding and Supporting the Needs of Older Adults
Management	Analyzing the impact of investment spikes on dynamic productivity growth
Psychology, Multidisciplinary	The stability of laughter
Linguistics	PHONOLOGICAL MOVEMENT IN CLASSICAL GREEK
Education, Special	Using Generalizability Theory to Examine the Dependability of Scores From the Learning Target Rating Scale
Public Administration	Liberalized Lynching: Building a New Racialized State
Business	Special Issue: Food, children and marketing (CB)
History Of Social Sciences	The park in the metropolis: urban growth and urban parks in the 19th century
History Of Social Sciences	Crazy Language: Psychiatrist and Poet in the Institution of the 19h Century
International Relations	The Chinese Question in Central Asia: Domestic Order, Social Change, and the Chinese Factor
Area Studies	The Israeli-Palestinian Conflict: A People's War
Social Work	Inside Transracial Adoption: Strength-Based, Culture-Sensitizing Parenting Strategies for Inter-Country or Domestic Adoptive Families that Don't 'Match', 2nd edition
History	Sex and Secularism
Social Sciences, Interdisciplinary	When Children are Asked About Their Well-being: Towards a Framework for Guiding Policy
Ethnic Studies	A bigger, and more complicated, Holocaust
History & Philosophy Of Science	The Psychophysical Ear: Musical Experiments, Experimental Sounds, 1840-1910
Gerontology	News and views
History Of Social Sciences	The transactions of the Royal Institute of British Architects town planning conference, London 10-15 October 1910
Public Administration	Professional Management and Service Levels in Small US Communities
Transportation	Evolution of inland container distribution among the cluster of ports in the Greater Pearl River Delta
Linguistics	The Japanese response token Hee for registering the achievement of epistemic coherence
Communication	The Rise of Think Tanks in China
Health Policy & Services	Strategic Performance Evaluation in Cancer Centers PRACTITIONER APPLICATION
Area Studies	Dangerous Creole Liaisons: Sexuality and Nationalism in French Caribbean Discourses from 1806 to 1897
Psychology, Multidisciplinary	Humor as an abrasive or a lubricant in social situations: Martineau revisited
Social Work	Water Insecurity: A Case for Social Policy Action by Social Workers
Ethnic Studies	What went wrong with liberal multiculturalism? Reply
Public, Environmental & Occupational Health	Musculoskeletal symptoms and work ability among agricultural machinery operators
Business, Finance	BIG BET PHILANTHROPY
History Of Social Sciences	XX century Mexican Cities
Public, Environmental & Occupational Health	Can a National Health Insurance Policy Increase Equity in the Utilization of Skilled Birth Attendants in Indonesia? A Secondary Analysis of the 2012 to 2016 National Socio-Economic Survey of Indonesia
Hospitality, Leisure, Sport & Tourism	Cultural tourism and livelihood diversification: The case of Gcwihaba Caves and XaiXai village in the Okavango Delta, Botswana
Criminology & Penology	Easy Prey: Illicit Enterprising Activities and the Trafficking of Vietnamese Women in China
Transportation	Queuing models for sizing and structuring rental fleets
Social Sciences, Interdisciplinary	Urban-Rural Variation in Satisfaction with Life: Demographic, Health, and Geographic Predictors in Halifax, Canada
Public Administration	Debate: The two futures of public administration
Political Science	The Sino-Soviet Split. Cold War in the Communist World
Ethnic Studies	The English village, whiteness, coloniality and social class
History	Consuming Music: Individuals, Institutions, Communities, 1730-1830
Health Policy & Services	Disparities in cancer care: Perspectives from the front line
Industrial Relations & Labor	Worker Participation in Unions in Argentina: Main Determining Factors and Trends
Environmental Studies	Implications of climate change for semi-arid dualistic agriculture: a case study in Central Chile
Demography	"Between ""Pioneers"" of the Cardiovascular Revolution and Its ""Late Followers"": Mortality Changes in the Czech Republic and Poland Since 1968"
Social Sciences, Biomedical	Experimental heterogeneity and standardisation: Stem cell products and the clinical trial process
Area Studies	Shanghai splendor: Economic sentiments and the making of modern China, 1843-1949
History & Philosophy Of Science	Worlds of Natural History.
Public Administration	Accountability when hierarchical authority is absent - Views from public-private partnership practitioners
Public, Environmental & Occupational Health	Are all immigrant mothers really at risk of low birth weight and perinatal mortality? The crucial role of socio-economic status
Development Studies	Legal Liminality: the gender and labour politics of organising South Korea's irregular workforce
Ethics	Introduction to Applied Ethics
Transportation	Taking-off corporate social responsibility programs: An AHP application in airline industry
Industrial Relations & Labor	Individual Wage Growth: The Role of Industry Experience
Development Studies	Don't reinvent the wheel: possibilities for and limits to building capacity of grassroots international NGOs
History Of Social Sciences	Misbehaving Science: Controversy and the Development of Behavior Genetics
Development Studies	Addressing 'Well-Being' and 'Institutionalized Power Relations' in Health Policy Reply
Linguistics	Genre innovation and multimodal expression in scholarly communication: Video methods articles in experimental biology
Criminology & Penology	Advances and Challenges in Empirical Studies of Victimization
Social Sciences, Mathematical Methods	A Systematic Evaluation and Comparison Between Exploratory Structural Equation Modeling and Bayesian Structural Equation Modeling
Sociology	Disciplining statistics: Demography and vital statistics in France and England, 1830-1885
Regional & Urban Planning	Infrastructural Peripherization - The example of the Uecker-Randow region (Germany)
Anthropology	Hominin isotopic dietary niche breadth expansion during pliocene environmental change
Economics	On the inefficiency of Bitcoin
Hospitality, Leisure, Sport & Tourism	Accommodating the needs of disabled hotel guests: Implications for guests and management
Education & Educational Research	A poisoned chalice? Why UK women engineering and technology students may receive more 'help' than their male peers
Family Studies	Developing effective research proposals
Rehabilitation	Factors affecting ability and satisfaction with social roles in persons with neurological conditions: The importance of mobility and stigma
Geography	Heterogeneous Space-Time Artificial Neural Networks for Space-Time Series Prediction
Anthropology	Tracing the Biographies of Objects and Lives
Public, Environmental & Occupational Health	"Workers"" health intersectoriality: old questions, new perspectives?"
Industrial Relations & Labor	Worker Directors: A German Product that Did Not Export?
Substance Abuse	Perceived Unintended Consequences of Prescription Drug Monitoring Programs
Psychology, Multidisciplinary	The use of humor in television advertising in Hong Kong
Area Studies	From Big Screens to Pasarelas: Studying Beauty in Latin America
Industrial Relations & Labor	Who Cares about Skills? The Impact and Limits of Statutory Regulation on Qualifications and Skills in Social Care
Management	COVENANT DESIGN IN FINANCIAL CONTRACTS: A CASE STUDY OF THE PRIVATE EQUITY ACQUISITION OF HCA
Hospitality, Leisure, Sport & Tourism	Communicating Hurricane Evacuation to Tourists: Gender, Past Experience with Hurricanes, and Place of Residence
Law	THE FRAMEWORK(S) OF LEGAL CHANGE
International Relations	Explaining the Central Asian Energy Game: Complex Interdependence and How Small States Influence Their Big Neighbors
Psychology, Multidisciplinary	No Cheek Bias: Posing Orientation in van Gogh's Portraits and Self-Portraits
Rehabilitation	Role of Sexual Risk Behaviors and Sexual Attitude in Perceived HIV Vulnerability Among Youths with Disabilities in Two Nigerian Cities
Nursing	Development and Evaluation of the Automated Risk Assessment System for Catheter-Associated Urinary Tract Infection
Public Administration	A Multidimensional Reputation Barometer for Public Agencies: A Validated Instrument
Criminology & Penology	Is It Better to Sit on Our Hands or Just Dive In? Cultivating Family-Friendly Criminal Justice Policy in the Contemporary Era INTRODUCTION
Social Issues	Imagining Science: Art, Science, and Social Change
Social Work	Editorial
Education, Special	Implementing Functional Behavior Assessment in Thailand
Criminology & Penology	Escape to Prison: Penal Tourism and the Pull of Punishment
Hospitality, Leisure, Sport & Tourism	Has the tourism-led growth hypothesis been validated? A literature review
Public, Environmental & Occupational Health	Optimising the benefits of community health workers' unique position between communities and the health sector: A comparative analysis of factors shaping relationships in four countries
Public, Environmental & Occupational Health	An assessment of training needs in a rural public health agency: Barriers to local public health training
Hospitality, Leisure, Sport & Tourism	Theming Asia: culture, nature and heritage in a transforming environment
Business	Do independent hotels benefit from the presence of branded ones?
Demography	Spatial Variation in the Quality of American Community Survey Estimates
Public Administration	The politics of public fund investing
Public, Environmental & Occupational Health	Improving comprehension and accuracy of health questionnaires using pictorial descriptions (response to the Editor)
Geography	Gramsci and the African Citta Futura: Urban Subaltern Politics From the Margins of Nouakchott, Mauritania
Education & Educational Research	The relation between intellectual risk-taking regarding science classes and test anxiety inventory of secondary school
Area Studies	"""One People, One Struggle"": Anya-Nya propaganda and the Israeli Mossad in Southern Sudan, 1969-1971"
History	Extreme Civil War: Guerrilla Warfare, Environment, and Race on the Trans-Mississippi Frontier.
Gerontology	IMPACT OF AGEING WELL: A LOTHIAN WIDE PEER SUPPORT PHYSICAL ACTIVITY AND WELLBEING PROJECT FOR INACTIVE ADULTS AGED 50+
Ethics	Parents' Perspectives on Decisions to Participate in Pediatric Clinical Research: Results From a Focus Group Study With Laypeople
Political Science	Social Media, Political Science, and Democracy
Transportation	Cross-National Differences in Aviation Safety Records
Public, Environmental & Occupational Health	The Pediatric Symptom Checklist: Comparison of symptom profiles using three factor structures between pediatric gastroenterology and general pediatric patients
Management	Surrogate-based methods for black-box optimization
Nursing	The effect of teaching based on dominant learning style on nursing students' academic achievement
Education, Special	Consequence Choice and Students with Emotional and Behavioral Disabilities: Effects on Academic Engagement
Sociology	Wealth Elite Moralities: Wealthy Entrepreneurs' Moral Boundaries
Nursing	Critical thinking instruction and technology enhanced learning from the student perspective: A mixed methods research study
Social Sciences, Interdisciplinary	Eyes of Democracy: The Media and Elections
Cultural Studies	The Official World
Education & Educational Research	In Memoriam Profesor Jesus A. Beltran Llera, has works published, Professor
Communication	Mapping property Pharmocracy: Value, Politics, and Knowledge in Global Biomedicine, by Ravi Sunder Rajan, Durham, NC, Duke University Press, 2017, 344 pp., $104.95 (cloth), $28.95 (paperback)
History Of Social Sciences	THE RHETORICAL USE OF RANDOM SAMPLING: CRAFTING AND COMMUNICATING THE PUBLIC IMAGE OF POLLS AS A SCIENCE (1935-1948)
Development Studies	Understanding Social Performance: A 'Practice Drift' at the Frontline of Microfinance Institutions in Bangladesh
Urban Studies	Application of a hybrid Entropy-McKinsey Matrix method in evaluating sustainable urbanization: A China case study
Cultural Studies	Did manga conquer America? Implications for the cultural policy of 'Cool Japan'
Geography	Triangulating Social Multimedia Content for Event Localization using Flickr and Twitter
Cultural Studies	About the Cover
Nursing	Create a Safe Day, Patient Safety Behaviors for Staff at Helen DeVos Children's Hospital
Political Science	Democracy, Elite Bias, and Redistribution in Latin America
Substance Abuse	Substance use Initiation among Justice-Involved Youths: Evidence from the Pathways to Desistance Study
History	Fly Away: The Great African American Cultural Migrations
Public, Environmental & Occupational Health	APPLYING MACHINE LEARNING TO POOLED QUALITATIVE STUDIES ON ACTIVE TRAVEL: A METHOD TO UNCOVER UNANTICIPATED PATTERNS TO INFORM BEHAVIOUR CHANGE?
Education & Educational Research	"""Everybody Knows Your Business""/""Todo Mundo Se Da Cuenta"": Immigrant Adults' Construction of Privacy, Risk, and Vulnerability in Online Platforms"
Economics	Testing Efficient Risk Sharing with Heterogeneous Risk Preferences
Law	RETHINKING THE EFFICIENCY OF THE COMMON LAW
Substance Abuse	A postal intervention for dependent cannabis users
Hospitality, Leisure, Sport & Tourism	Can 'too much' trust slow tourism development? An exploratory cross-country analysis
Linguistics	The reality of phonological forms: a rejoinder
Development Studies	FDI in Sub-Saharan Africa: Few Linkages, Fewer Spillovers
Social Issues	From the Editors' Desk
Education & Educational Research	Exploring the Relationship Between Self-Regulation and TPACK of Taiwanese Secondary In-Service Teachers
Gerontology	Advancing Aging Policy in the Second Decade of the New Century: Introduction
Area Studies	The Muslim Brotherhood: Evolution of an Islamist Movement
Information Science & Library Science	Would You Kill the Fat Man? The Trolley Problem and What Your Answer Tells Us About Right and Wrong
Linguistics	The Latin American Story Finder: A Guide to 470 Tales from Mexico, Central America and South America, Listing Subjects and Sources
Public Administration	The distribution of analytical techniques in policy advisory systems: Policy formulation and the tools of policy appraisal
Substance Abuse	Examining Contextual Differences in Participant Characteristics and During-Program Occurrences With Drug Court Program Completion
Development Studies	Regional integration and growth: New empirical evidence from WAEMU
Sociology	Democracy and child health in developing countries
History Of Social Sciences	Robert Moses: The master builder of New York City
Family Studies	Power, Resistance, and Emotional Economies in Women's Relationships With Mothers-in-Law in Chinese Immigrant Families
Health Policy & Services	Lessons for major system change: centralization of stroke services in two metropolitan areas of England
Social Sciences, Biomedical	Special Issue: Experimental Ethics
Transportation	Transition between Signal Timing Plans: A Methodological and Analytical Overview
History & Philosophy Of Science	Selection Biases in Likelihood Arguments
Geography	Solid Landscape Models in the Twenty-first Century - A Balanced Approach
Economics	High-technology exports and economic output: an empirical investigation
Psychology, Multidisciplinary	Cognitive Linguistics and Humor Research
Information Science & Library Science	Delta blues: The life and times of the Mississippi masters who revolutionized American music
Rehabilitation	Legislation and Other Legal Issues Relevant in Choosing to Partner with a Service Dog in the Workplace
History	Raising an Empire: Children in Early Modern Iberia and Colonial Latin America.
Regional & Urban Planning	Infrastructural Peripherization The Example of Uecker-Randow (Germany)
